time,theta1_deg,theta2_deg,theta1_dot,theta2_dot,theta1_ddot,theta2_ddot,x,y
0.880000,-13.616219,103.434310,-0.5670747586,-0.1974687316,-0.2761727720,-0.0961698368,0.2925684122,0.2443732420
0.900000,-14.269032,103.206985,-0.5721492278,-0.1992357808,-0.2311714052,-0.0804993054,0.2965832989,0.2410033179
0.920000,-14.927142,102.977816,-0.5763178787,-0.2006874028,-0.1856096228,-0.0646336241,0.3005911614,0.2375405441
0.940000,-15.589505,102.747165,-0.5795706238,-0.2018200850,-0.1395995079,-0.0486118230,0.3045837126,0.2339894578
0.960000,-16.255067,102.515401,-0.5818996173,-0.2026310952,-0.0932531438,-0.0324729319,0.3085528235,0.2303550960
0.980000,-16.922766,102.282893,-0.5832992551,-0.2031184819,-0.0466826135,-0.0162559809,0.3124905626,0.2266429848
1.000000,-17.591534,102.050012,-0.5837661747,-0.2032810742,-0.0000000000,-0.0000000000,0.3163892339,0.2228591257
1.020000,-18.260303,101.817131,-0.5832992551,-0.2031184819,0.0466826135,0.0162559809,0.3202414119,0.2190099771
1.040000,-18.928001,101.584623,-0.5818996173,-0.2026310952,0.0932531438,0.0324729319,0.3240399760,0.2151024325
1.060000,-19.593563,101.352859,-0.5795706238,-0.2018200850,0.1395995079,0.0486118230,0.3277781407,0.2111437948
1.080000,-20.255927,101.122208,-0.5763178787,-0.2006874028,0.1856096228,0.0646336241,0.3314494848,0.2071417465
1.100000,-20.914037,100.893039,-0.5721492278,-0.1992357808,0.2311714052,0.0804993054,0.3350479761,0.2031043178
1.120000,-21.566850,100.665714,-0.5670747586,-0.1974687316,0.2761727720,0.0961698368,0.3385679936,0.1990398502
1.140000,-22.213335,100.440593,-0.5611068002,-0.1953905485,0.3205016403,0.1116061885,0.3420043460,0.1949569583
1.160000,-22.852476,100.218029,-0.5542599235,-0.1930063055,0.3640459268,0.1267693304,0.3453522872,0.1908644882
1.180000,-23.483276,99.998369,-0.5465509409,-0.1903218569,0.4066935484,0.1416202325,0.3486075269,0.1867714746
1.200000,-24.104757,99.781955,-0.5379989066,-0.1873438380,0.4483324221,0.1561198650,0.3517662389,0.1826870951
1.220000,-24.715965,99.569118,-0.5286251162,-0.1840796643,0.4888504648,0.1702291978,0.3548250645,0.1786206236
1.240000,-25.315971,99.360182,-0.5184531074,-0.1805375323,0.5281355933,0.1839092010,0.3577811131,0.1745813820
1.260000,-25.903877,99.155459,-0.5075086592,-0.1767264187,0.5660757245,0.1971208445,0.3606319582,0.1705786914
1.280000,-26.478811,98.955254,-0.4958197923,-0.1726560811,0.6025587754,0.2098250985,0.3633756312,0.1666218222
1.300000,-27.039939,98.759856,-0.4834167692,-0.1683370575,0.6374726627,0.2219829330,0.3660106106,0.1627199449
1.320000,-27.586460,98.569544,-0.4703320941,-0.1637806668,0.6707053035,0.2335553180,0.3685358090,0.1588820797
1.340000,-28.117614,98.384584,-0.4566005126,-0.1589990080,0.7021446146,0.2445032235,0.3709505571,0.1551170481
1.360000,-28.632679,98.205227,-0.4422590123,-0.1540049612,0.7316785129,0.2547876197,0.3732545853,0.1514334232
1.380000,-29.130979,98.031707,-0.4273468221,-0.1488121868,0.7591949153,0.2643694764,0.3754480026,0.1478394828
1.400000,-29.611883,97.864245,-0.4119054128,-0.1434351260,0.7845817388,0.2732097637,0.3775312746,0.1443431624
1.420000,-30.074811,97.703042,-0.3959784969,-0.1378890003,0.8077269000,0.2812694518,0.3795051998,0.1409520099
1.440000,-30.519231,97.548285,-0.3796120285,-0.1321898121,0.8285183161,0.2885095105,0.3813708845,0.1376731419
1.460000,-30.944668,97.400138,-0.3628542032,-0.1263543443,0.8468439039,0.2948909100,0.3831297177,0.1345132013
1.480000,-31.350701,97.258747,-0.3457554584,-0.1204001603,0.8625915802,0.3003746202,0.3847833461,0.1314783173
1.500000,-31.736971,97.124239,-0.3283684732,-0.1143456042,0.8756492620,0.3049216113,0.3863336490,0.1285740667
1.520000,-32.103177,96.996718,-0.3107481684,-0.1082098008,0.8859048662,0.3084928532,0.3877827141,0.1258054370
1.540000,-32.449086,96.876264,-0.2929517063,-0.1020126553,0.8932463096,0.3110493160,0.3891328146,0.1231767922
1.560000,-32.774529,96.762937,-0.2750384910,-0.0957748536,0.8975615091,0.3125519697,0.3903863884,0.1206918399
1.580000,-33.079407,96.656772,-0.2570701682,-0.0895178621,0.8987383817,0.3129617843,0.3915460186,0.1183536008
1.600000,-33.363693,96.557776,-0.2391106251,-0.0832639280,0.8966648443,0.3122397300,0.3926144170,0.1161643800
1.620000,-33.627437,96.465935,-0.2212259910,-0.0770360789,0.8912288137,0.3103467766,0.3935944099,0.1141257406
1.640000,-33.870761,96.381204,-0.2034846364,-0.0708581231,0.8823182068,0.3072438943,0.3944889273,0.1122384787
1.660000,-34.093871,96.303511,-0.1859571738,-0.0647546495,0.8698209405,0.3028920531,0.3953009957,0.1105026011
1.680000,-34.297053,96.232759,-0.1687164571,-0.0587510276,0.8536249318,0.2972522229,0.3960337332,0.1089173042
1.700000,-34.480678,96.168816,-0.1518375820,-0.0528734074,0.8336180974,0.2902853740,0.3966903498,0.1074809548
1.720000,-34.645207,96.111523,-0.1353978859,-0.0471487196,0.8096883544,0.2819524762,0.3972741501,0.1061910734
1.740000,-34.791186,96.060690,-0.1194769478,-0.0416046755,0.7817236196,0.2722144996,0.3977885407,0.1050443181
1.760000,-34.919257,96.016093,-0.1041565883,-0.0362697670,0.7496118098,0.2610324143,0.3982370408,0.1040364707
1.780000,-35.030156,95.977475,-0.0895208698,-0.0311732666,0.7132408421,0.2483671902,0.3986232965,0.1031624244
1.800000,-35.124718,95.944546,-0.0756560962,-0.0263452272,0.6724986332,0.2341797975,0.3989510987,0.1024161724
1.820000,-35.203876,95.916982,-0.0626508133,-0.0218164827,0.6272731001,0.2184312061,0.3992244039,0.1017907984
1.840000,-35.268666,95.894420,-0.0505958083,-0.0176186472,0.5774521597,0.2010823861,0.3994473576,0.1012784671
1.860000,-35.320231,95.876464,-0.0395841102,-0.0137841156,0.5229237289,0.1820943075,0.3996243208,0.1008704169
1.880000,-35.359821,95.862678,-0.0297109896,-0.0103460635,0.4635757245,0.1614279404,0.3997598974,0.1005569523
1.900000,-35.388796,95.852588,-0.0210739589,-0.0073384468,0.3992960635,0.1390442548,0.3998589634,0.1003274365
1.920000,-35.408629,95.845682,-0.0137727720,-0.0047960023,0.3299726627,0.1149042206,0.3999266965,0.1001702850
1.940000,-35.420910,95.841405,-0.0079094245,-0.0027542471,0.2554934391,0.0889688081,0.3999686050,0.1000729577
1.960000,-35.427345,95.839164,-0.0035881538,-0.0012494793,0.1757463095,0.0611989871,0.3999905561,0.1000219505
1.980000,-35.429763,95.838322,-0.0009154388,-0.0003187772,0.0906191908,0.0315557277,0.3999988015,0.1000027858
2.000000,-35.430115,95.838200,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,0.4000000000,0.1000000000
