time,theta1_deg,theta2_deg,theta1_dot,theta2_dot,theta1_ddot,theta2_ddot,x,y
0.900000,-20.461517,108.837403,-0.3437341066,-0.0872368154,0.1647156483,-0.2212692777,0.2900000000,0.2100000000
0.920000,-20.851588,108.732374,-0.3404008707,-0.0916545497,0.1666617963,-0.2208867148,0.2920000000,0.2080000000
0.940000,-21.237796,108.622293,-0.3370296083,-0.0960643373,0.1685631215,-0.2204893841,0.2940000000,0.2060000000
0.960000,-21.620097,108.507167,-0.3336212320,-0.1004658969,0.1704188125,-0.2200779769,0.2960000000,0.2040000000
0.980000,-21.998452,108.387008,-0.3301766693,-0.1048589611,0.1722281343,-0.2196532093,0.2980000000,0.2020000000
1.000000,-22.372819,108.261824,-0.3266968608,-0.1092432775,0.1739904288,-0.2192158220,0.3000000000,0.2000000000
1.020000,-22.743159,108.131627,-0.3231827585,-0.1136186091,0.1757051146,-0.2187665793,0.3020000000,0.1980000000
1.040000,-23.109434,107.996426,-0.3196353247,-0.1179847344,0.1773716879,-0.2183062672,0.3040000000,0.1960000000
1.060000,-23.471607,107.856233,-0.3160555303,-0.1223414483,0.1789897217,-0.2178356936,0.3060000000,0.1940000000
1.080000,-23.829642,107.711059,-0.3124443530,-0.1266885620,0.1805588659,-0.2173556861,0.3080000000,0.1920000000
1.100000,-24.183504,107.560914,-0.3088027760,-0.1310259039,0.1820788465,-0.2168670921,0.3100000000,0.1900000000
1.120000,-24.533159,107.405811,-0.3051317867,-0.1353533194,0.1835494657,-0.2163707769,0.3120000000,0.1880000000
1.140000,-24.878575,107.245760,-0.3014323747,-0.1396706719,0.1849706004,-0.2158676232,0.3140000000,0.1860000000
1.160000,-25.219721,107.080773,-0.2977055307,-0.1439778425,0.1863422018,-0.2153585300,0.3160000000,0.1840000000
1.180000,-25.556565,106.910863,-0.2939522448,-0.1482747307,0.1876642938,-0.2148444118,0.3180000000,0.1820000000
1.200000,-25.889079,106.736041,-0.2901735053,-0.1525612547,0.1889369726,-0.2143261973,0.3200000000,0.1800000000
1.220000,-26.217236,106.556318,-0.2863702972,-0.1568373512,0.1901604049,-0.2138048293,0.3220000000,0.1780000000
1.240000,-26.541007,106.371708,-0.2825436007,-0.1611029765,0.1913348263,-0.2132812629,0.3240000000,0.1760000000
1.260000,-26.860367,106.182222,-0.2786943899,-0.1653581058,0.1924605402,-0.2127564656,0.3260000000,0.1740000000
1.280000,-27.175292,105.987871,-0.2748236316,-0.1696027341,0.1935379160,-0.2122314157,0.3280000000,0.1720000000
1.300000,-27.485757,105.788669,-0.2709322838,-0.1738368762,0.1945673875,-0.2117071025,0.3300000000,0.1700000000
1.320000,-27.791741,105.584626,-0.2670212948,-0.1780605667,0.1955494508,-0.2111845247,0.3320000000,0.1680000000
1.340000,-28.093222,105.375756,-0.2630916016,-0.1822738605,0.1964846628,-0.2106646905,0.3340000000,0.1660000000
1.360000,-28.390179,105.162069,-0.2591441288,-0.1864768328,0.1973736392,-0.2101486168,0.3360000000,0.1640000000
1.380000,-28.682594,104.943578,-0.2551797877,-0.1906695794,0.1982170523,-0.2096373286,0.3380000000,0.1620000000
1.400000,-28.970447,104.720294,-0.2511994751,-0.1948522166,0.1990156293,-0.2091318586,0.3400000000,0.1600000000
1.420000,-29.253722,104.492228,-0.2472040721,-0.1990248815,0.1997701502,-0.2086332470,0.3420000000,0.1580000000
1.440000,-29.532402,104.259392,-0.2431944432,-0.2031877323,0.2004814456,-0.2081425409,0.3440000000,0.1560000000
1.460000,-29.806473,104.021797,-0.2391714353,-0.2073409482,0.2011503948,-0.2076607944,0.3460000000,0.1540000000
1.480000,-30.075919,103.779453,-0.2351358769,-0.2114847296,0.2017779238,-0.2071890679,0.3480000000,0.1520000000
1.500000,-30.340727,103.532372,-0.2310885768,-0.2156192981,0.2023650029,-0.2067284285,0.3500000000,0.1500000000
1.520000,-30.600884,103.280563,-0.2270303239,-0.2197448971,0.2029126452,-0.2062799497,0.3520000000,0.1480000000
1.540000,-30.856380,103.024036,-0.2229618858,-0.2238617914,0.2034219040,-0.2058447115,0.3540000000,0.1460000000
1.560000,-31.107202,102.762801,-0.2188840084,-0.2279702674,0.2038938712,-0.2054238003,0.3560000000,0.1440000000
1.580000,-31.353342,102.496868,-0.2147974149,-0.2320706336,0.2043296754,-0.2050183097,0.3580000000,0.1420000000
1.600000,-31.594790,102.226245,-0.2107028053,-0.2361632203,0.2047304796,-0.2046293397,0.3600000000,0.1400000000
1.620000,-31.831537,101.950940,-0.2066008557,-0.2402483803,0.2050974798,-0.2042579983,0.3620000000,0.1380000000
1.640000,-32.063576,101.670963,-0.2024922176,-0.2443264883,0.2054319028,-0.2039054008,0.3640000000,0.1360000000
1.660000,-32.290900,101.386320,-0.1983775175,-0.2483979418,0.2057350050,-0.2035726711,0.3660000000,0.1340000000
1.680000,-32.513502,101.097018,-0.1942573561,-0.2524631606,0.2060080700,-0.2032609419,0.3680000000,0.1320000000
1.700000,-32.731378,100.803065,-0.1901323080,-0.2565225877,0.2062524078,-0.2029713556,0.3700000000,0.1300000000
1.720000,-32.944521,100.504466,-0.1860029209,-0.2605766890,0.2064693529,-0.2027050647,0.3720000000,0.1280000000
1.740000,-33.152929,100.201227,-0.1818697157,-0.2646259537,0.2066602628,-0.2024632334,0.3740000000,0.1260000000
1.760000,-33.356596,99.893353,-0.1777331853,-0.2686708944,0.2068265170,-0.2022470377,0.3760000000,0.1240000000
1.780000,-33.555520,99.580848,-0.1735937950,-0.2727120478,0.2069695154,-0.2020576672,0.3780000000,0.1220000000
1.800000,-33.749697,99.263716,-0.1694519815,-0.2767499743,0.2070906777,-0.2018963258,0.3800000000,0.1200000000
1.820000,-33.939127,98.941960,-0.1653081526,-0.2807852589,0.2071914419,-0.2017642333,0.3820000000,0.1180000000
1.840000,-34.123805,98.615582,-0.1611626874,-0.2848185115,0.2072732635,-0.2016626266,0.3840000000,0.1160000000
1.860000,-34.303732,98.284584,-0.1570159351,-0.2888503667,0.2073376150,-0.2015927613,0.3860000000,0.1140000000
1.880000,-34.478907,97.948966,-0.1528682154,-0.2928814850,0.2073859848,-0.2015559133,0.3880000000,0.1120000000
1.900000,-34.649327,97.608729,-0.1487198178,-0.2969125526,0.2074198770,-0.2015533806,0.3900000000,0.1100000000
1.920000,-34.814993,97.263873,-0.1445710016,-0.3009442823,0.2074408108,-0.2015864851,0.3920000000,0.1080000000
1.940000,-34.975905,96.914394,-0.1404219952,-0.3049774138,0.2074503203,-0.2016565747,0.3940000000,0.1060000000
1.960000,-35.132062,96.560292,-0.1362729961,-0.3090127143,0.2074499542,-0.2017650255,0.3960000000,0.1040000000
1.980000,-35.283465,96.201562,-0.1321241706,-0.3130509792,0.2074412759,-0.2019132441,0.3980000000,0.1020000000
2.000000,-35.430115,95.838200,-0.1279756533,-0.3170930326,0.2074258635,-0.2021026698,0.4000000000,0.1000000000
