time,theta1_deg,theta2_deg,theta1_dot,theta2_dot,theta1_ddot,theta2_ddot,x,y
0.880000,-14.396002,103.162771,-0.4602879534,-0.1602830614,-0.1120831055,-0.0390299662,0.2973596721,0.2403403442
0.900000,-14.924667,102.978678,-0.4623428103,-0.1609986108,-0.0934025879,-0.0325249719,0.3005761617,0.2375536920
0.920000,-15.455471,102.793839,-0.4640240569,-0.1615840603,-0.0747220704,-0.0260199775,0.3037791799,0.2347133599
0.940000,-15.987989,102.608404,-0.4653316931,-0.1620394099,-0.0560415528,-0.0195149831,0.3069653011,0.2318214326
0.960000,-16.521790,102.422522,-0.4662657190,-0.1623646596,-0.0373610352,-0.0130099887,0.3101311780,0.2288801416
0.980000,-17.056448,102.236342,-0.4668261346,-0.1625598094,-0.0186805176,-0.0065049944,0.3132735472,0.2258918650
1.000000,-17.591534,102.050012,-0.4670129397,-0.1626248594,0.0000000000,0.0000000000,0.3163892339,0.2228591257
1.020000,-18.126620,101.863683,-0.4668261346,-0.1625598094,0.0186805176,0.0065049944,0.3194751569,0.2197845896
1.040000,-18.661278,101.677502,-0.4662657190,-0.1623646596,0.0373610352,0.0130099887,0.3225283330,0.2166710637
1.060000,-19.195080,101.491620,-0.4653316931,-0.1620394099,0.0560415528,0.0195149831,0.3255458820,0.2135214933
1.080000,-19.727597,101.306185,-0.4640240569,-0.1615840603,0.0747220704,0.0260199775,0.3285250298,0.2103389589
1.100000,-20.258402,101.121346,-0.4623428103,-0.1609986108,0.0934025879,0.0325249719,0.3314631132,0.2071266734
1.120000,-20.787066,100.937253,-0.4602879534,-0.1602830614,0.1120831055,0.0390299662,0.3343575829,0.2038879781
1.140000,-21.313162,100.754054,-0.4578594861,-0.1594374121,0.1307636231,0.0455349606,0.3372060068,0.2006263388
1.160000,-21.836260,100.571899,-0.4550574085,-0.1584616630,0.1494441407,0.0520399550,0.3400060726,0.1973453418
1.180000,-22.355934,100.390936,-0.4518817205,-0.1573558139,0.1681246583,0.0585449494,0.3427555907,0.1940486889
1.200000,-22.871754,100.211316,-0.4483324221,-0.1561198650,0.1868051759,0.0650499437,0.3454524956,0.1907401932
